learning_rate,n_estimators,subsample,min_samples_split,max_depth,max_features,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,random_state,n_columns,n_features,Precedence
0.01,200.0,0.85,2.0,12.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.935648,0.860909,0.863497,0.074895,0.11011,0.109086,,,,152.29,42.0,11.0,10.0,39.0
0.01,400.0,0.85,2.0,12.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.973574,0.884966,0.886765,0.047994,0.100136,0.099355,,,,308.8,42.0,11.0,10.0,40.0
0.01,800.0,0.85,2.0,12.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.983037,0.886884,0.888551,0.038452,0.099298,0.098569,,,,606.75,42.0,11.0,10.0,41.0
0.01,800.0,0.85,2.0,3.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.876537,0.870178,0.873678,0.103738,0.106378,0.10494,,,,151.11,42.0,11.0,10.0,42.0
0.01,800.0,0.85,2.0,6.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.906908,0.88639,0.889157,0.09008,0.099514,0.0983,,,,303.21,42.0,11.0,10.0,43.0
0.01,800.0,0.85,2.0,24.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.999984,0.879919,0.881177,0.00117,0.102309,0.101777,,,,966.92,42.0,11.0,10.0,44.0
0.01,800.0,0.85,2.0,48.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.999984,0.879753,0.880942,0.001168,0.10238,0.101878,,,,1006.23,42.0,11.0,10.0,45.0
0.01,800.0,0.85,2.0,96.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.999984,0.879984,0.881348,0.001168,0.102281,0.101704,,,,1010.22,42.0,11.0,10.0,46.0
0.01,800.0,0.85,2.0,192.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.999984,0.879984,0.881348,0.001168,0.102281,0.101704,,,,1006.1,42.0,11.0,10.0,47.0
0.01,800.0,0.85,2.0,384.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.999984,0.879984,0.881348,0.001168,0.102281,0.101704,,,,1011.75,42.0,11.0,10.0,48.0
0.01,800.0,0.25,2.0,12.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.960708,0.889944,0.891048,0.058522,0.097946,0.097458,,,,189.52,42.0,11.0,10.0,49.0
0.01,800.0,0.4,2.0,12.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.971012,0.889467,0.890061,0.050267,0.098157,0.097899,,,,296.65,42.0,11.0,10.0,50.0
0.01,800.0,0.55,2.0,12.0,0.85,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.976765,0.888363,0.889777,0.045003,0.098646,0.098025,,,,413.6,42.0,11.0,10.0,51.0
