hidden_dim,num_encoder_layers,num_decoder_layers,num_graph_layers,graph_nhead,dropout,epochs,lr,batchnorm,grad_clip,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,DataFactory,output_dim,mode,verbose,Precedence,GraphDataFactory,features,n_columns,n_features,feature combo ningxiang score
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.899635,0.899245,0.898574,0.093532,0.093715,0.094032,,,,73.35,25.0,42.0,MSELoss(),./,,1.0,Regression,True,24.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %']",25.0,24.0,0.9830121267145816
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.897409,0.896062,0.896363,0.094564,0.095184,0.095051,,,,75.55,26.0,42.0,MSELoss(),./,,1.0,Regression,True,25.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks']",26.0,25.0,0.9847276615664784
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.898731,0.89796,0.898266,0.093952,0.094311,0.094174,,,,74.55,27.0,42.0,MSELoss(),./,,1.0,Regression,True,26.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For']",27.0,26.0,0.9864022991207512
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.896989,0.896485,0.896206,0.094757,0.09499,0.095123,,,,75.44,28.0,42.0,MSELoss(),./,,1.0,Regression,True,27.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances']",28.0,27.0,0.9880071555759266
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.899283,0.898621,0.898722,0.093696,0.094005,0.093963,,,,74.45,29.0,42.0,MSELoss(),./,,1.0,Regression,True,28.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s']",29.0,28.0,0.989568451403329
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.894536,0.893527,0.892509,0.095879,0.096338,0.096802,,,,74.31,30.0,42.0,MSELoss(),./,,1.0,Regression,True,29.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers']",30.0,29.0,0.9911132734549049
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.898178,0.897966,0.896997,0.094209,0.094308,0.09476,,,,74.77,31.0,42.0,MSELoss(),./,,1.0,Regression,True,30.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces']",31.0,30.0,0.9926434124424228
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.899437,0.899393,0.898397,0.093624,0.093646,0.094114,,,,73.71,32.0,42.0,MSELoss(),./,,1.0,Regression,True,31.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions']",32.0,31.0,0.9941282512295924
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.893606,0.893147,0.892515,0.0963,0.09651,0.0968,,,,75.58,33.0,42.0,MSELoss(),./,,1.0,Regression,True,32.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances']",33.0,32.0,0.9954600443092164
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.899213,0.899019,0.898464,0.093729,0.09382,0.094083,,,,74.41,34.0,42.0,MSELoss(),./,,1.0,Regression,True,33.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances', 'Behinds']",34.0,33.0,0.9967759764723418
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.899573,0.89818,0.898797,0.093561,0.094209,0.093928,,,,75.25,35.0,42.0,MSELoss(),./,,1.0,Regression,True,34.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances', 'Behinds', 'Stoppage Clearances']",35.0,34.0,0.998079867999009
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.900548,0.900016,0.899042,0.093106,0.093356,0.093815,,,,73.45,36.0,42.0,MSELoss(),./,,1.0,Regression,True,35.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances', 'Behinds', 'Stoppage Clearances', 'Ineffective Disposals']",36.0,35.0,0.999192674212217
16.0,2.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.896091,0.896212,0.895181,0.095169,0.095116,0.095592,,,,74.52,37.0,42.0,MSELoss(),./,,1.0,Regression,True,36.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances', 'Behinds', 'Stoppage Clearances', 'Ineffective Disposals', 'Winloss']",37.0,36.0,1.0000000000000002
16.0,1.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.900341,0.900301,0.89879,0.093203,0.093223,0.093932,,,,70.57,36.0,42.0,MSELoss(),./,,1.0,Regression,True,37.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances', 'Behinds', 'Stoppage Clearances', 'Ineffective Disposals']",36.0,35.0,0.999192674212217
16.0,3.0,1.0,1.0,4.0,0.1,10.0,0.01,False,True,0.902285,0.901408,0.900219,0.092289,0.092704,0.093266,,,,77.9,36.0,42.0,MSELoss(),./,,1.0,Regression,True,38.0,<function GraphDataFactory at 0x797de551e050>,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances', 'Behinds', 'Stoppage Clearances', 'Ineffective Disposals']",36.0,35.0,0.999192674212217
