n_estimators,max_depth,subsample,colsample_bytree,gamma,eta,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,random_state,n_jobs,n_columns,n_features,Precedence
800.0,192.0,1.0,1.0,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts']",0.8334493582092865,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.79,19260817.0,-1.0,6.0,5.0,30.0
25.0,192.0,0.4,1.0,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances']",0.9954600443092164,-4.042162662971915e+45,-4.042023245834635e+45,-4.041591951266186e+45,1.877052959259631e+22,1.8770529445589528e+22,1.8770529459045675e+22,,,,21.19,19260817.0,-1.0,33.0,32.0,31.0
25.0,24.0,0.4,1.0,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts']",0.9611499564974356,-1.5958812715228674e+45,-1.5958262914691362e+45,-1.595655942287921e+45,1.1794238940323227e+22,1.1794239080962292e+22,1.179423882962144e+22,,,,9.94,19260817.0,-1.0,16.0,15.0,32.0
25.0,24.0,1.0,0.4,1e-08,0.0001,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts']",0.8334493582092865,0.003061,0.002621,0.002639,0.294784,0.294854,0.294867,,,,3.69,19260817.0,-1.0,6.0,5.0,33.0
800.0,192.0,1.0,1.0,1e-08,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.0,0.0,0.0,0.0,0.0,0.0,,,,28.99,19260817.0,-1.0,11.0,10.0,34.0
800.0,192.0,1.0,1.0,1e-08,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts']",0.8334493582092865,0.0,0.0,0.0,0.0,0.0,0.0,,,,12.91,19260817.0,-1.0,6.0,5.0,35.0
25.0,3.0,1.0,0.4,1e-08,0.0001,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances']",0.9954600443092164,0.002845,0.002827,0.002846,0.294816,0.294824,0.294837,,,,0.45,19260817.0,-1.0,33.0,32.0,36.0
25.0,24.0,0.4,0.4,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %']",0.9830121267145816,-3.0780884524743176e+43,-3.077983610903756e+43,-3.077656198010641e+43,1.6379859819536177e+21,1.6379863214018147e+21,1.6379865929690836e+21,,,,17.13,19260817.0,-1.0,25.0,24.0,37.0
800.0,3.0,1.0,0.4,1e-08,0.0001,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %']",0.9830121267145816,0.085445,0.08493,0.085427,0.282341,0.282426,0.282364,,,,7.19,19260817.0,-1.0,25.0,24.0,38.0
800.0,24.0,1.0,0.4,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325661,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.63,19260817.0,-1.0,11.0,10.0,39.0
800.0,24.0,0.4,0.4,0.1,0.0001,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s']",0.989568451403329,0.113496,0.106996,0.107138,0.277978,0.279,0.278992,,,,166.52,19260817.0,-1.0,29.0,28.0,40.0
25.0,192.0,0.4,0.4,1e-08,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s']",0.989568451403329,-3.737558189109127e+42,-3.737423634366089e+42,-3.737027487533515e+42,5.70773254105822e+20,5.707728186926767e+20,5.707730211812277e+20,,,,23.43,19260817.0,-1.0,29.0,28.0,41.0
800.0,24.0,1.0,0.4,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs']",0.975217379174236,0.0,0.0,0.0,0.0,0.0,0.0,,,,24.63,19260817.0,-1.0,21.0,20.0,42.0
25.0,192.0,1.0,0.4,0.1,0.0001,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances', 'Behinds', 'Stoppage Clearances', 'Ineffective Disposals', 'Winloss']",1.0000000000000002,0.004161,0.003667,0.003674,0.294621,0.294699,0.294714,,,,17.26,19260817.0,-1.0,37.0,36.0,43.0
800.0,24.0,1.0,1.0,1e-08,0.0001,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s']",0.989568451403329,0.137974,0.121106,0.121548,0.274113,0.276787,0.276732,,,,2220.87,19260817.0,-1.0,29.0,28.0,44.0
