C,degree,tol,max_iter,gamma,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,verbose,kernel,n_columns,n_features,Precedence
0.0001,9.0,0.0001,50.0,scale,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts']",0.9622914921123895,-1.806737,-1.806002,-1.833977,0.494619,0.494562,0.497048,,,,0.27,False,poly,16.0,15.0,30.0
0.0001,5.0,10.0,50.0,auto,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces', 'Centre Clearances', 'Behinds', 'Uncontested Possessions']",0.996206147250226,0.0,0.0,0.0,0.295236,0.295241,0.295257,,,,0.03,False,poly,33.0,32.0,31.0
0.0001,5.0,10.0,1600.0,scale,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers']",0.9906885153906778,0.0,0.0,0.0,0.295236,0.295241,0.295257,,,,0.03,False,poly,29.0,28.0,32.0
0.0001,5.0,0.0001,1600.0,scale,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts']",0.9622914921123895,-46.335843,-46.334285,-46.348697,2.031256,2.031258,2.031675,,,,7.68,False,poly,16.0,15.0,33.0
0.0001,9.0,10.0,50.0,auto,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements']",0.8284208217712162,0.0,0.0,0.0,0.295236,0.295241,0.295257,,,,0.01,False,poly,6.0,5.0,34.0
0.0001,9.0,10.0,1600.0,auto,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers']",0.9906885153906778,0.0,0.0,0.0,0.295236,0.295241,0.295257,,,,0.02,False,poly,29.0,28.0,35.0
10.0,5.0,0.0001,50.0,auto,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces', 'Centre Clearances', 'Behinds', 'Uncontested Possessions']",0.996206147250226,-26.606203,-26.706811,-26.619254,1.551218,1.554069,1.551695,,,,0.27,False,poly,33.0,32.0,36.0
0.0001,5.0,0.0001,50.0,auto,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces', 'Centre Clearances', 'Behinds', 'Uncontested Possessions']",0.996206147250226,0.001781,0.001804,0.00173,0.294973,0.294975,0.295002,,,,0.33,False,poly,33.0,32.0,37.0
10.0,5.0,0.0001,1600.0,scale,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts']",0.9622914921123895,-6.601953,-6.772785,-6.668032,0.814015,0.823124,0.817603,,,,3.89,False,poly,16.0,15.0,38.0
0.0001,9.0,10.0,50.0,scale,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50']",0.9300102609080034,0.0,0.0,0.0,0.295236,0.295241,0.295257,,,,0.02,False,poly,11.0,10.0,39.0
