n_estimators,max_depth,subsample,colsample_bytree,learning_rate,reg_alpha,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,random_state,n_jobs,warnings,n_columns,n_features,Precedence
25.0,192.0,1.0,0.4,1e-08,0.0001,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts']",0.8334493582092865,0.0,0.0,0.0,0.295236,0.295241,0.295257,,,,0.12,19260817.0,-1.0,none,6.0,5.0,28.0
800.0,3.0,1.0,0.4,1e-08,0.0001,['Effective Disposals'],0.44653042996227005,9e-06,9e-06,9e-06,0.295235,0.29524,0.295256,,,,1.51,19260817.0,-1.0,none,1.0,0.0,29.0
800.0,192.0,1.0,1.0,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts']",0.8334493582092865,0.80383,0.789233,0.793929,0.130763,0.135544,0.134032,,,,4.37,19260817.0,-1.0,none,6.0,5.0,30.0
25.0,192.0,0.4,1.0,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances']",0.9954600443092163,0.847973,0.839142,0.841892,0.115114,0.118413,0.117402,,,,0.74,19260817.0,-1.0,none,33.0,32.0,31.0
25.0,24.0,0.4,1.0,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts']",0.9611499564974357,0.84758,0.838767,0.841833,0.115263,0.118551,0.117424,,,,0.39,19260817.0,-1.0,none,16.0,15.0,32.0
25.0,24.0,1.0,0.4,1e-08,0.0001,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts']",0.8334493582092865,0.0,0.0,0.0,0.295236,0.295241,0.295257,,,,0.16,19260817.0,-1.0,none,6.0,5.0,33.0
800.0,192.0,1.0,1.0,1e-08,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325660999,1.2e-05,1.1e-05,1.2e-05,0.295235,0.29524,0.295255,,,,5.07,19260817.0,-1.0,none,11.0,10.0,34.0
800.0,192.0,1.0,1.0,1e-08,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts']",0.8334493582092865,1.1e-05,1.1e-05,1.1e-05,0.295235,0.29524,0.295255,,,,5.15,19260817.0,-1.0,none,6.0,5.0,35.0
25.0,3.0,1.0,0.4,1e-08,0.0001,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %', 'Uncontested Marks', 'Frees For', 'Clearances', 'Inside 50s', 'Turnovers', 'Bounces', 'Uncontested Possessions', 'Centre Clearances']",0.9954600443092163,0.0,0.0,0.0,0.295236,0.295241,0.295257,,,,0.44,19260817.0,-1.0,none,33.0,32.0,36.0
25.0,24.0,0.4,0.4,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %']",0.9830121267145816,0.831658,0.823522,0.825569,0.121134,0.124029,0.123314,,,,0.41,19260817.0,-1.0,none,25.0,24.0,37.0
800.0,3.0,1.0,0.4,1e-08,0.0001,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks', 'Tackles Outside 50', 'Metres Gained', 'Marks', 'Behind Assists', 'Intercepts', 'Marks Inside 50', 'Goal Assists', 'Frees Agains', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Rebound 50s', 'Disposal Efficiency %']",0.9830121267145816,9e-06,9e-06,9e-06,0.295235,0.29524,0.295256,,,,6.1,19260817.0,-1.0,none,25.0,24.0,38.0
800.0,24.0,1.0,0.4,0.1,10.0,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Score Involvements', 'Hitouts', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Contested Marks']",0.9296124325660999,0.895936,0.885338,0.886493,0.09524,0.099974,0.099474,,,,2.61,19260817.0,-1.0,none,11.0,10.0,39.0
