hidden_dim,num_transformer_layers,num_graph_layers,num_mlp_layers,graph_nhead,dropout,nhead,share_embedding_mlp,use_cls,epochs,lr,batchnorm,grad_clip,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,input_dim,random_state,loss,rootpath,GraphDataFactory,output_dim,mode,graph_mode,verbose,Precedence
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,True,10.0,0.01,False,False,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,194.12,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,20.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,True,False,0.905049,0.903962,0.903281,0.090974,0.091495,0.091824,,,,330.61,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,21.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,True,True,0.891571,0.890805,0.888764,0.097217,0.097561,0.098474,,,,338.69,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,22.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,1e-05,True,False,0.848039,0.844539,0.848023,0.115089,0.116409,0.115104,,,,332.02,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,23.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.0001,True,False,0.89723,0.892359,0.891192,0.094646,0.096865,0.097394,,,,331.1,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,24.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.001,True,False,0.899057,0.896313,0.894271,0.093801,0.095069,0.096006,,,,333.12,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,25.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.1,True,False,-0.009319,-0.009318,-0.009317,0.296609,0.296614,0.296629,,,,332.15,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,26.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,5.0,0.01,True,False,0.898754,0.899279,0.898583,0.093942,0.0937,0.094028,,,,165.21,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,27.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,20.0,0.01,True,False,0.902632,0.902107,0.90075,0.092125,0.092375,0.093018,,,,661.63,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,28.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,30.0,0.01,True,False,0.903976,0.903918,0.902923,0.091487,0.091516,0.091994,,,,989.92,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,29.0
16.0,2.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,True,False,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,357.31,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,30.0
16.0,3.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,True,False,0.88913,0.888648,0.885306,0.098305,0.09852,0.099993,,,,379.96,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,31.0
16.0,1.0,1.0,1.0,2.0,0.0,4.0,True,False,10.0,0.01,True,False,0.897937,0.897384,0.897749,0.09432,0.094577,0.094413,,,,318.36,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,32.0
16.0,1.0,1.0,1.0,8.0,0.0,4.0,True,False,10.0,0.01,True,False,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,359.59,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,33.0
16.0,1.0,1.0,1.0,16.0,0.0,4.0,True,False,10.0,0.01,True,False,0.900491,0.899956,0.899276,0.093132,0.093384,0.093706,,,,420.03,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,34.0
16.0,1.0,2.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,True,False,0.902594,0.901902,0.901969,0.092143,0.092471,0.092445,,,,372.76,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,35.0
16.0,1.0,1.0,2.0,4.0,0.0,4.0,True,False,10.0,0.01,True,False,0.898666,0.898524,0.897549,0.093982,0.09405,0.094506,,,,333.65,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7a6643db04c0>,1.0,Regression,concat,True,36.0
16.0,1.0,1.0,3.0,4.0,0.0,4.0,True,False,10.0,0.01,True,False,0.874463,0.872244,0.869004,0.104606,0.105528,0.106864,,,,327.17,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,37.0
16.0,1.0,1.0,1.0,4.0,0.0,2.0,True,False,10.0,0.01,True,False,0.895705,0.894913,0.894002,0.095346,0.095709,0.096128,,,,307.95,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,38.0
16.0,1.0,1.0,1.0,4.0,0.0,8.0,True,False,10.0,0.01,True,False,0.892794,0.891253,0.889473,0.096667,0.097361,0.09816,,,,304.45,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,39.0
16.0,1.0,1.0,1.0,4.0,0.0,16.0,True,False,10.0,0.01,True,False,0.899179,0.898504,0.89761,0.093745,0.094059,0.094477,,,,300.64,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,40.0
32.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,True,False,0.894834,0.893435,0.891757,0.095743,0.096379,0.097141,,,,306.18,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,41.0
64.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,True,False,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,306.25,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,42.0
128.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,True,False,0.885763,0.884254,0.882677,0.099787,0.100445,0.101133,,,,305.85,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,43.0
256.0,1.0,1.0,1.0,4.0,0.0,4.0,True,False,10.0,0.01,True,False,0.878442,0.877392,0.878086,0.102934,0.10338,0.103093,,,,315.28,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,44.0
16.0,1.0,1.0,1.0,4.0,0.05,4.0,True,False,10.0,0.01,True,False,0.900852,0.899667,0.897859,0.092963,0.093519,0.094363,,,,331.61,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,45.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,True,False,0.896797,0.895258,0.895,0.094845,0.095551,0.095674,,,,333.28,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,46.0
16.0,1.0,1.0,1.0,4.0,0.2,4.0,True,False,10.0,0.01,True,False,0.885962,0.884004,0.885279,0.0997,0.100554,0.100005,,,,331.81,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,47.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,False,False,10.0,0.01,True,False,0.896748,0.895248,0.894655,0.094868,0.095556,0.095831,,,,329.94,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,48.0
16.0,1.0,1.0,1.0,4.0,0.0,4.0,True,True,10.0,0.01,True,False,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,257.68,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x79b820ac91b0>,1.0,Regression,concat,True,49.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,False,False,10.0,0.01,False,False,0.825399,0.825023,0.826266,0.123365,0.1235,0.123067,,,,274.73,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7c6ef1483250>,1.0,Regression,concat,True,50.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,True,10.0,0.01,False,False,-0.00016,-0.00016,-0.00016,0.29526,0.295265,0.295281,,,,212.15,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7c6ef1483250>,1.0,Regression,concat,True,51.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.01,False,True,0.893248,0.892311,0.892013,0.096462,0.096886,0.097025,,,,259.81,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7c6ef1483250>,1.0,Regression,concat,True,52.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,1e-05,False,False,0.890801,0.890526,0.891887,0.097562,0.097686,0.097082,,,,257.64,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7c6ef1483250>,1.0,Regression,concat,True,53.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.0001,False,False,0.900638,0.899106,0.89872,0.093064,0.09378,0.093964,,,,252.14,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7c6ef1483250>,1.0,Regression,concat,True,54.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.001,False,False,0.904176,0.903407,0.902873,0.091392,0.091759,0.092018,,,,250.49,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7c6ef1483250>,1.0,Regression,concat,True,55.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,10.0,0.1,False,False,-0.0,-0.0,-0.0,0.295236,0.295241,0.295257,,,,255.64,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7c6ef1483250>,1.0,Regression,concat,True,56.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,5.0,0.01,False,False,0.885478,0.885784,0.885054,0.099911,0.099779,0.100103,,,,127.24,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7c6ef1483250>,1.0,Regression,concat,True,57.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,20.0,0.01,False,False,0.87713,0.876485,0.876257,0.103489,0.103762,0.103863,,,,499.92,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7c6ef1483250>,1.0,Regression,concat,True,58.0
16.0,1.0,1.0,1.0,4.0,0.1,4.0,True,False,30.0,0.01,False,False,0.897987,0.897165,0.898684,0.094297,0.094678,0.093981,,,,747.38,37.0,42.0,MSELoss(),./,<function GraphDataFactory at 0x7c6ef1483250>,1.0,Regression,concat,True,59.0
