n_estimators,max_depth,subsample,colsample_bylevel,max_bin,reg_lambda,learning_rate,features,feature combo ningxiang score,Train r2,Val r2,Test r2,Train rmse,Val rmse,Test rmse,Train mape,Val mape,Test mape,Time,random_state,verbose,bootstrap_type,n_columns,n_features,Precedence
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs']",0.9764793087738668,0.580294,0.574174,0.571854,0.191268,0.192661,0.193195,,,,65.78,19260817.0,False,Bernoulli,21.0,20.0,20.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50']",0.9786263510963568,0.606736,0.604923,0.59828,0.185145,0.185574,0.187138,,,,70.65,19260817.0,False,Bernoulli,22.0,21.0,21.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %']",0.9806877626160077,0.583943,0.580902,0.574211,0.190435,0.191133,0.192663,,,,68.9,19260817.0,False,Bernoulli,23.0,22.0,22.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %']",0.9826720510926692,0.56262,0.552064,0.556399,0.195254,0.197599,0.196651,,,,70.05,19260817.0,False,Bernoulli,24.0,23.0,23.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s']",0.984419983127306,0.556903,0.549864,0.546372,0.196526,0.198084,0.198861,,,,76.5,19260817.0,False,Bernoulli,25.0,24.0,24.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks']",0.9861672466363148,0.559681,0.550804,0.549517,0.195909,0.197877,0.198171,,,,73.8,19260817.0,False,Bernoulli,26.0,25.0,25.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For']",0.9876764877640174,0.561714,0.553089,0.551252,0.195456,0.197373,0.197789,,,,77.19,19260817.0,False,Bernoulli,27.0,26.0,26.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s']",0.9891849159403272,0.569047,0.565638,0.557779,0.193814,0.194582,0.196345,,,,78.02,19260817.0,False,Bernoulli,28.0,27.0,27.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers']",0.9906885153906778,0.581977,0.577254,0.574379,0.190884,0.191963,0.192625,,,,80.67,19260817.0,False,Bernoulli,29.0,28.0,28.0
50.0,4.0,0.7,0.7,64.0,0.01,0.01,"['Effective Disposals', 'Disposals', 'Contested Possessions', 'Goals', 'Hitouts', 'Score Involvements', 'Kicks', 'Tackles', 'One Percenters', 'Clangers', 'Tackles Outside 50', 'Contested Marks', 'Behind Assists', 'Metres Gained', 'Marks', 'Intercepts', 'Marks Inside 50', 'Frees Agains', 'Goal Assists', 'Tackles Inside 50', 'Handballs', 'Marks Outside 50', 'Time On Ground %', 'Disposal Efficiency %', 'Rebound 50s', 'Uncontested Marks', 'Frees For', 'Inside 50s', 'Turnovers', 'Bounces']",0.9921722542855724,0.573917,0.564715,0.560996,0.192715,0.194789,0.19563,,,,79.12,19260817.0,False,Bernoulli,30.0,29.0,29.0
