,p,var,lower_bound_p,lower_p_safety_margin_0.05,lower_p_safety_margin_0.1,lower_p_safety_margin_0.2,official_odds,return,lower_bound_return,return_safety_margin_0.05,return_safety_margin_0.1,return_safety_margin_0.2
Top 3 Finish (Includes Ineligible): Marcus Bontempelli,0.51218,2.50E-06,0.509018661,0.46218,0.41218,0.31218,3.5,0.79263,0.781565313,0.61763,0.44263,0.09263
Top 3 Finish (Includes Ineligible): Caleb Serong,0.13998,1.20E-06,0.137785593,0.08998,0.03998,-0.06002,9,0.25982,0.240070333,-0.19018,-0.64018,-1.54018
Top 3 Finish (Includes Ineligible): Zachary Merrett,0.11361,1.01E-06,0.111602985,0.06361,0.01361,-0.08639,9,0.02249,0.004426862,-0.42751,-0.87751,-1.77751
Top 3 Finish (Includes Ineligible): Tom Green,0.07225,6.70E-07,0.070612564,0.02225,-0.02775,-0.12775,10.5,-0.241375,-0.258568081,-0.766375,-1.291375,-2.341375
Top 3 Finish (Includes Ineligible): Errol Gulden,0.02661,2.59E-07,0.025592122,-0.02339,-0.07339,-0.17339,11,-0.70729,-0.718486662,-1.25729,-1.80729,-2.90729
Top 3 Finish (Includes Ineligible): Adam Treloar,0.1428,1.22E-06,0.140587236,0.0928,0.0428,-0.0572,26,2.7128,2.655268125,1.4128,0.1128,-2.4872
Top 3 Finish (Includes Ineligible): Zak Butters,0.25113,1.88E-06,0.248387273,0.20113,0.15113,0.05113,26,5.52938,5.45806911,4.22938,2.92938,0.32938
Top 3 Finish (Includes Ineligible): Chad Warner,0.00916,9.08E-08,0.008557469,-0.04084,-0.09084,-0.19084,34,-0.68856,-0.709046059,-2.38856,-4.08856,-7.48856
Top 3 Finish (Includes Ineligible): Jason H-Francis,0.00037,3.70E-09,0.000248367,-0.04963,-0.09963,-0.19963,34,-0.98742,-0.991555513,-2.68742,-4.38742,-7.78742
Top 3 Finish (Includes Ineligible): Noah Anderson,0.0503,4.78E-07,0.048917684,0.0003,-0.0497,-0.1497,41,1.0623,1.005625061,-0.9877,-3.0377,-7.1377
Top 3 Finish (Includes Ineligible): Jai Newcombe,0.00187,1.87E-08,0.00159676,-0.04813,-0.09813,-0.19813,51,-0.90463,-0.918565242,-3.45463,-6.00463,-11.10463
Top 5 Finish (Includes Ineligible): Nick Daicos,0.74133,1.92E-06,0.738560453,0.69133,0.64133,0.54133,1.04,-0.2290168,-0.231897129,-0.2810168,-0.3330168,-0.4370168
Top 5 Finish (Includes Ineligible): Patrick Cripps,0.43852,2.46E-06,0.435381719,0.38852,0.33852,0.23852,1.04,-0.5439392,-0.547203012,-0.5959392,-0.6479392,-0.7519392
Top 5 Finish (Includes Ineligible): Lachie Neale,0.46141,2.49E-06,0.458257155,0.41141,0.36141,0.26141,1.26,-0.4186234,-0.422595985,-0.4816234,-0.5446234,-0.6706234
Top 5 Finish (Includes Ineligible): Isaac Heeney,0.22507,1.74E-06,0.222428686,0.17507,0.12507,0.02507,1.54,-0.6533922,-0.657459824,-0.7303922,-0.8073922,-0.9613922
Top 5 Finish (Includes Ineligible): Marcus Bontempelli,0.66173,2.24E-06,0.658737721,0.61173,0.56173,0.46173,1.54,0.0190642,0.01445609,-0.0579358,-0.1349358,-0.2889358
Top 5 Finish (Includes Ineligible): Caleb Serong,0.25194,1.88E-06,0.24919434,0.20194,0.15194,0.05194,3,-0.24418,-0.25241698,-0.39418,-0.54418,-0.84418
Top 5 Finish (Includes Ineligible): Zachary Merrett,0.20769,1.65E-06,0.205124421,0.15769,0.10769,0.00769,3,-0.37693,-0.384626736,-0.52693,-0.67693,-0.97693
Top 5 Finish (Includes Ineligible): Errol Gulden,0.0639,5.98E-07,0.062353174,0.0139,-0.0361,-0.1361,4,-0.7444,-0.750587305,-0.9444,-1.1444,-1.5444
Top 5 Finish (Includes Ineligible): Tom Green,0.14757,1.26E-06,0.14532685,0.09757,0.04757,-0.05243,5.5,-0.188365,-0.200702327,-0.463365,-0.738365,-1.288365
Top 5 Finish (Includes Ineligible): Adam Treloar,0.25298,1.89E-06,0.250230592,0.20298,0.15298,0.05298,13,2.28874,2.252997695,1.63874,0.98874,-0.31126
Top 5 Finish (Includes Ineligible): Chad Warner,0.0264,2.57E-07,0.025386037,-0.0236,-0.0736,-0.1736,13,-0.6568,-0.669981523,-1.3068,-1.9568,-3.2568
Top 5 Finish (Includes Ineligible): Zak Butters,0.39285,2.39E-06,0.389761189,0.34285,0.29285,0.19285,14,4.4999,4.456656642,3.7999,3.0999,1.6999
Top 5 Finish (Includes Ineligible): Jason H-Francis,0.00143,1.43E-08,0.001191006,-0.04857,-0.09857,-0.19857,16,-0.97712,-0.980943906,-1.77712,-2.57712,-4.17712
Top 5 Finish (Includes Ineligible): Noah Anderson,0.12118,1.06E-06,0.119116068,0.07118,0.02118,-0.07882,16,0.93888,0.905857084,0.13888,-0.66112,-2.26112
Top 5 Finish (Includes Ineligible): Jai Newcombe,0.00677,6.72E-08,0.00625138,-0.04323,-0.09323,-0.19323,23,-0.84429,-0.85621826,-1.99429,-3.14429,-5.44429
Top 5 Finish (Includes Ineligible): Matt Rowell,0.07152,6.64E-07,0.069890216,0.02152,-0.02848,-0.12848,46,2.28992,2.21494994,-0.01008,-2.31008,-6.91008
Top 5 Finish (Includes Ineligible): Andrew Brayshaw,0.0656,6.13E-07,0.064034157,0.0156,-0.0344,-0.1344,51,2.3456,2.265741986,-0.2044,-2.7544,-7.8544
Top 10 Finish (Includes Ineligible): Lachie Neale,0.71403,2.04E-06,0.711172091,0.66403,0.61403,0.51403,1.01,-0.2788297,-0.281716189,-0.3293297,-0.3798297,-0.4808297
Top 10 Finish (Includes Ineligible): Isaac Heeney,0.45581,2.48E-06,0.452660097,0.40581,0.35581,0.25581,1.05,-0.5213995,-0.524706898,-0.5738995,-0.6263995,-0.7313995
Top 10 Finish (Includes Ineligible): Marcus Bontempelli,0.84365,1.32E-06,0.841353005,0.79365,0.74365,0.64365,1.05,-0.1141675,-0.116579345,-0.1666675,-0.2191675,-0.3241675
Top 10 Finish (Includes Ineligible): Caleb Serong,0.48962,2.50E-06,0.486458404,0.43962,0.38962,0.28962,1.17,-0.4271446,-0.430843667,-0.4856446,-0.5441446,-0.6611446
Top 10 Finish (Includes Ineligible): Zachary Merrett,0.42495,2.44E-06,0.421823548,0.37495,0.32495,0.22495,1.17,-0.5028085,-0.506466448,-0.5613085,-0.6198085,-0.7368085
Top 10 Finish (Includes Ineligible): Errol Gulden,0.19858,1.59E-06,0.196056938,0.14858,0.09858,-0.00142,1.39,-0.7239738,-0.727480855,-0.7934738,-0.8629738,-1.0019738
Top 10 Finish (Includes Ineligible): Tom Green,0.34827,2.27E-06,0.345256842,0.29827,0.24827,0.14827,1.45,-0.4950085,-0.499377579,-0.5675085,-0.6400085,-0.7850085
Top 10 Finish (Includes Ineligible): Noah Anderson,0.33541,2.23E-06,0.332423965,0.28541,0.23541,0.13541,2.02,-0.3224718,-0.328503591,-0.4234718,-0.5244718,-0.7264718
Top 10 Finish (Includes Ineligible): Zak Butters,0.63328,2.32E-06,0.630232139,0.58328,0.53328,0.43328,2.12,0.3425536,0.336092134,0.2365536,0.1305536,-0.0814464
Top 10 Finish (Includes Ineligible): Adam Treloar,0.49382,2.50E-06,0.490657964,0.44382,0.39382,0.29382,2.15,0.061713,0.054914622,-0.045787,-0.153287,-0.368287
Top 10 Finish (Includes Ineligible): Jason H-Francis,0.01028,1.02E-07,0.009642056,-0.03972,-0.08972,-0.18972,2.25,-0.97687,-0.978305375,-1.08937,-1.20187,-1.42687
Top 10 Finish (Includes Ineligible): Chad Warner,0.10547,9.43E-07,0.103527362,0.05547,0.00547,-0.09453,2.4,-0.746872,-0.751534332,-0.866872,-0.986872,-1.226872
Top 10 Finish (Includes Ineligible): Jai Newcombe,0.036,3.47E-07,0.034821798,-0.014,-0.064,-0.164,4,-0.856,-0.860712808,-1.056,-1.256,-1.656
Top 10 Finish (Includes Ineligible): Matt Rowell,0.21719,1.70E-06,0.214582177,0.16719,0.11719,0.01719,8,0.73752,0.716657417,0.33752,-0.06248,-0.86248
Top 10 Finish (Includes Ineligible): Andrew Brayshaw,0.20782,1.65E-06,0.205253829,0.15782,0.10782,0.00782,13,1.70166,1.668299776,1.05166,0.40166,-0.89834
Top 10 Finish (Includes Ineligible): Hugh McCluggage,0.02806,2.73E-07,0.027015536,-0.02194,-0.07194,-0.17194,18,-0.49492,-0.513720356,-1.39492,-2.29492,-4.09492
Top 10 Finish (Includes Ineligible): Jordan Dawson,0.13603,1.18E-06,0.133861813,0.08603,0.03603,-0.06397,19,1.58457,1.543374453,0.63457,-0.31543,-2.21543
Top 10 Finish (Includes Ineligible): Rowan Marshall,0.54567,2.48E-06,0.542520941,0.49567,0.44567,0.34567,21,10.45907,10.39293977,9.40907,8.35907,6.25907
Top 10 Finish (Includes Ineligible): Jeremy Cameron,0.03008,2.92E-07,0.028999719,-0.01992,-0.06992,-0.16992,34,0.02272,-0.014009565,-1.67728,-3.37728,-6.77728
Top 10 Finish (Includes Ineligible): Max Gawn,0.54352,2.48E-06,0.540369724,0.49352,0.44352,0.34352,41,21.28432,21.15515867,19.23432,17.18432,13.08432
Top 10 Finish (Includes Ineligible): Sam Walsh,0.07476,6.92E-07,0.073096619,0.02476,-0.02524,-0.12524,41,2.06516,1.996961362,0.01516,-2.03484,-6.13484
Top 10 Finish (Includes Ineligible): Lachie Whitfield,0.26225,1.93E-06,0.259468095,0.21225,0.16225,0.06225,51,12.37475,12.23287283,9.82475,7.27475,2.17475
Top 20 Finish (Includes Ineligible): Noah Anderson,0.67492,2.19E-06,0.671957548,0.62492,0.57492,0.47492,1.01,-0.3183308,-0.321322876,-0.3688308,-0.4193308,-0.5203308
Top 20 Finish (Includes Ineligible): Tom Green,0.65784,2.25E-06,0.654839423,0.60784,0.55784,0.45784,1.01,-0.3355816,-0.338612183,-0.3860816,-0.4365816,-0.5375816
Top 20 Finish (Includes Ineligible): Zak Butters,0.86002,1.20E-06,0.857825593,0.81002,0.76002,0.66002,1.01,-0.1313798,-0.133596152,-0.1818798,-0.2323798,-0.3333798
Top 20 Finish (Includes Ineligible): Adam Treloar,0.77782,1.73E-06,0.77519081,0.72782,0.67782,0.57782,1.02,-0.2066236,-0.209305374,-0.2576236,-0.3086236,-0.4106236
Top 20 Finish (Includes Ineligible): Chad Warner,0.34556,2.26E-06,0.342552354,0.29556,0.24556,0.14556,1.02,-0.6475288,-0.650596598,-0.6985288,-0.7495288,-0.8515288
Top 20 Finish (Includes Ineligible): Jason H-Francis,0.0704,6.54E-07,0.068782053,0.0204,-0.0296,-0.1296,1.07,-0.924672,-0.926403204,-0.978172,-1.031672,-1.138672
Top 20 Finish (Includes Ineligible): Jai Newcombe,0.17358,1.43E-06,0.171184588,0.12358,0.07358,-0.02642,1.1,-0.809062,-0.811696953,-0.864062,-0.919062,-1.029062
Top 20 Finish (Includes Ineligible): Matt Rowell,0.52378,2.49E-06,0.520621301,0.47378,0.42378,0.32378,1.16,-0.3924152,-0.396079291,-0.4504152,-0.5084152,-0.6244152
Top 20 Finish (Includes Ineligible): Andrew Brayshaw,0.51561,2.50E-06,0.512449264,0.46561,0.41561,0.31561,1.44,-0.2575216,-0.26207306,-0.3295216,-0.4015216,-0.5455216
Top 20 Finish (Includes Ineligible): Jeremy Cameron,0.20132,1.61E-06,0.198783938,0.15132,0.10132,0.00132,1.51,-0.6960068,-0.699836254,-0.7715068,-0.8470068,-0.9980068
Top 20 Finish (Includes Ineligible): Hugh McCluggage,0.14493,1.24E-06,0.142703565,0.09493,0.04493,-0.05507,1.52,-0.7797064,-0.783090581,-0.8557064,-0.9317064,-1.0837064
Top 20 Finish (Includes Ineligible): Jordan Dawson,0.39751,2.39E-06,0.39441487,0.34751,0.29751,0.19751,1.92,-0.2367808,-0.24272345,-0.3327808,-0.4287808,-0.6207808
Top 20 Finish (Includes Ineligible): Sam Walsh,0.28896,2.05E-06,0.28609321,0.23896,0.18896,0.08896,2.25,-0.34984,-0.356290277,-0.46234,-0.57484,-0.79984
Top 20 Finish (Includes Ineligible): Max Gawn,0.81465,1.51E-06,0.812192396,0.76465,0.71465,0.61465,2.3,0.873695,0.868042512,0.758695,0.643695,0.413695
Top 20 Finish (Includes Ineligible): Rowan Marshall,0.80475,1.57E-06,0.80224299,0.75475,0.70475,0.60475,2.3,0.850925,0.845158878,0.735925,0.620925,0.390925
Top 20 Finish (Includes Ineligible): Connor Rozee,0.10082,9.07E-07,0.098915738,0.05082,0.00082,-0.09918,2.85,-0.712663,-0.718090146,-0.855163,-0.997663,-1.282663
Top 20 Finish (Includes Ineligible): Max Holmes,0.05051,4.80E-07,0.049124955,0.00051,-0.04949,-0.14949,5,-0.74745,-0.754375225,-0.99745,-1.24745,-1.74745
Top 20 Finish (Includes Ineligible): Lachie Whitfield,0.56184,2.46E-06,0.558702002,0.51184,0.46184,0.36184,6.25,2.5115,2.491887511,2.199,1.8865,1.2615
Top 20 Finish (Includes Ineligible): Jesse Hogan,0.26837,1.96E-06,0.265567519,0.21837,0.16837,0.06837,7,0.87859,0.858972631,0.52859,0.17859,-0.52141
Top 20 Finish (Includes Ineligible): Nicholas Martin,0.27495,1.99E-06,0.272126155,0.22495,0.17495,0.07495,7,0.92465,0.904883086,0.57465,0.22465,-0.47535
Top 20 Finish (Includes Ineligible): Hayden Young,0.14028,1.21E-06,0.138083626,0.09028,0.04028,-0.05972,7.25,0.01703,0.001106285,-0.34547,-0.70797,-1.43297
Top 20 Finish (Includes Ineligible): Oliver Wines,0.17423,1.44E-06,0.171831051,0.12423,0.07423,-0.02577,9,0.56807,0.546479459,0.11807,-0.33193,-1.23193
Top 20 Finish (Includes Ineligible): Luke D-Uniacke,0.26768,1.96E-06,0.264879804,0.21768,0.16768,0.06768,10.5,1.81064,1.781237944,1.28564,0.76064,-0.28936
Top 20 Finish (Includes Ineligible): Harry Sheezel,0.64151,2.30E-06,0.638477015,0.59151,0.54151,0.44151,11,6.05661,6.023247167,5.50661,4.95661,3.85661
Top 20 Finish (Includes Ineligible): Josh Dunkley,0.38551,2.37E-06,0.38243174,0.33551,0.28551,0.18551,12,3.62612,3.589180886,3.02612,2.42612,1.22612
Top 20 Finish (Includes Ineligible): Jack Steele,0.47239,2.49E-06,0.469232547,0.42239,0.37239,0.27239,12.5,4.904875,4.865406841,4.279875,3.654875,2.404875
Top 20 Finish (Includes Ineligible): Jack Sinclair,0.38271,2.36E-06,0.37963596,0.33271,0.28271,0.18271,15,4.74065,4.694539399,3.99065,3.24065,1.74065
Top 20 Finish (Includes Ineligible): Sam Flanders,0.46887,2.49E-06,0.465713857,0.41887,0.36887,0.26887,15,6.03305,5.985707859,5.28305,4.53305,3.03305
Top 20 Finish (Includes Ineligible): Dayne Zorko,0.32842,2.21E-06,0.325449745,0.27842,0.22842,0.12842,17,4.58314,4.532645673,3.73314,2.88314,1.18314
Top 20 Finish (Includes Ineligible): James Worpel,0.01107,1.09E-07,0.010408261,-0.03893,-0.08893,-0.18893,21,-0.76753,-0.781426514,-1.81753,-2.86753,-4.96753
Top 20 Finish (Includes Ineligible): Dylan Moore,0.20802,1.65E-06,0.205452919,0.15802,0.10802,0.00802,23,3.78446,3.725417127,2.63446,1.48446,-0.81554
Top 20 Finish (Includes Ineligible): Thomas Stewart,0.11616,1.03E-06,0.114133507,0.06616,0.01616,-0.08384,23,1.67168,1.625070659,0.52168,-0.62832,-2.92832
Top 20 Finish (Includes Ineligible): Jye Caldwell,0.05897,5.55E-07,0.057480134,0.00897,-0.04103,-0.14103,26,0.53322,0.494483476,-0.76678,-2.06678,-4.66678
Top 20 Finish (Includes Ineligible): Patrick Dangerfield,1.00E-05,1.00E-10,-1.00E-05,-0.04999,-0.09999,-0.19999,29,-0.99971,-1.000289997,-2.44971,-3.89971,-6.79971
Top 20 Finish (Includes Ineligible): Christian Petracca,0.04863,4.63E-07,0.047269631,-0.00137,-0.05137,-0.15137,34,0.65342,0.60716744,-1.04658,-2.74658,-6.14658
Top 20 Finish (Includes Ineligible): Izak Rankine,0.01723,1.69E-07,0.016407002,-0.03277,-0.08277,-0.18277,34,-0.41418,-0.442161919,-2.11418,-3.81418,-7.21418
Top 20 Finish (Includes Ineligible): Rory Laird,0.26984,1.97E-06,0.267032678,0.21984,0.16984,0.06984,34,8.17456,8.079111063,6.47456,4.77456,1.37456
Top 20 Finish (Includes Ineligible): Will Day,0.00934,9.25E-08,0.008731633,-0.04066,-0.09066,-0.19066,41,-0.61706,-0.642003053,-2.66706,-4.71706,-8.81706
Top 20 Finish (Includes Ineligible): Elliot Yeo,0.03301,3.19E-07,0.031880038,-0.01699,-0.06699,-0.16699,46,0.51846,0.466481759,-1.78154,-4.08154,-8.68154
Top 20 Finish (Includes Ineligible): Nick Blakey,0.09293,8.43E-07,0.091093765,0.04293,-0.00707,-0.10707,46,3.27478,3.19031317,0.97478,-1.32522,-5.92522
Top 20 Finish (Includes Ineligible): Charlie Curnow,0.07164,6.65E-07,0.070008955,0.02164,-0.02836,-0.12836,51,2.65364,2.570456695,0.10364,-2.44636,-7.54636
Top 20 Finish (Includes Ineligible): Ed Richards,0.02087,2.04E-07,0.019965911,-0.02913,-0.07913,-0.17913,51,0.06437,0.018261438,-2.48563,-5.03563,-10.13563
Brownlow Medal Quinella: Nick Daicos/Patrick Cripps,0.05354864,5.07E-07,0.052124826,0.00354864,-0.04645136,-0.14645136,1.73,-0.907360852,-0.909824051,-0.993860852,-1.080360852,-1.253360852
Brownlow Medal Quinella: Lachie Neale/Nick Daicos,0.054181008,5.12E-07,0.05274929,0.004181008,-0.045818992,-0.145818992,9,-0.512370925,-0.525256389,-0.962370925,-1.412370925,-2.312370925
Brownlow Medal Quinella: Lachie Neale/Patrick Cripps,0.017249338,1.70E-07,0.016425886,-0.032750662,-0.082750662,-0.182750662,9,-0.844755961,-0.852167022,-1.294755961,-1.744755961,-2.644755961
Brownlow Medal Quinella: Marcus Bontempelli/Patrick Cripps,0.0403456,3.87E-07,0.039101127,-0.0096544,-0.0596544,-0.1596544,15,-0.394815996,-0.413483092,-1.144815996,-1.894815996,-3.394815996
Brownlow Medal Quinella: Marcus Bontempelli/Nick Daicos,0.132687739,1.15E-06,0.130542216,0.082687739,0.032687739,-0.067312261,17,1.255691566,1.219217678,0.405691566,-0.444308434,-2.144308434
Brownlow Medal Quinella: Nick Daicos/Zachary Merrett,0.017960972,1.76E-07,0.017121011,-0.032039028,-0.082039028,-0.182039028,25,-0.550975694,-0.571974728,-1.800975694,-3.050975694,-5.550975694
Brownlow Medal Quinella: Caleb Serong/Nick Daicos,0.023158311,2.26E-07,0.022207059,-0.026841689,-0.076841689,-0.176841689,26,-0.397883924,-0.422616473,-1.697883924,-2.997883924,-5.597883924
Brownlow Medal Quinella: Patrick Cripps/Zachary Merrett,0.005430139,5.40E-08,0.004965353,-0.044569861,-0.094569861,-0.194569861,26,-0.858816389,-0.870900827,-2.158816389,-3.458816389,-6.058816389
Brownlow Medal Quinella: Caleb Serong/Patrick Cripps,0.006759136,6.71E-08,0.006240929,-0.043240864,-0.093240864,-0.193240864,36,-0.756671104,-0.775326539,-2.556671104,-4.356671104,-7.956671104
Brownlow Medal Quinella: Nick Daicos/Tom Green,0.010136496,1.00E-07,0.009502975,-0.039863504,-0.089863504,-0.189863504,46,-0.533721166,-0.56286317,-2.833721166,-5.133721166,-9.733721166
Brownlow Medal Quinella: Patrick Cripps/Tom Green,0.003333647,3.32E-08,0.002969091,-0.046666353,-0.096666353,-0.196666353,46,-0.846652229,-0.863421823,-3.146652229,-5.446652229,-10.04665223
Brownlow Medal Quinella: Lachie Neale/Marcus Bontempelli,0.044038992,4.21E-07,0.042741309,-0.005961008,-0.055961008,-0.155961008,56,1.466183556,1.393513282,-1.333816444,-4.133816444,-9.733816444
Brownlow Medal Quinella: Errol Gulden/Nick Daicos,0.00298008,2.97E-08,0.002635337,-0.04701992,-0.09701992,-0.19701992,67,-0.800334634,-0.823432438,-4.150334634,-7.500334634,-14.20033463
Brownlow Medal Quinella: Errol Gulden/Patrick Cripps,0.00099358,9.93E-09,0.000794322,-0.04900642,-0.09900642,-0.19900642,76,-0.924487913,-0.939631515,-4.724487913,-8.524487913,-16.12448791
Brownlow Medal Quinella: Lachie Neale/Zachary Merrett,0.005853266,5.82E-08,0.005370814,-0.044146734,-0.094146734,-0.194146734,81,-0.525885464,-0.564964099,-4.575885464,-8.625885464,-16.72588546
Brownlow Medal Quinella: Adam Treloar/Patrick Cripps,0.008066663,8.00E-08,0.007500922,-0.041933337,-0.091933337,-0.191933337,91,-0.265933629,-0.317416125,-4.815933629,-9.365933629,-18.46593363
Brownlow Medal Quinella: Adam Treloar/Nick Daicos,0.025677973,2.50E-07,0.024677601,-0.024322027,-0.074322027,-0.174322027,111,1.850254997,1.73921368,-3.699745003,-9.249745003,-20.349745
Brownlow Medal Quinella: Lachie Neale/Tom Green,0.003827127,3.81E-08,0.003436616,-0.046172873,-0.096172873,-0.196172873,111,-0.575188905,-0.618535677,-6.125188905,-11.6751889,-22.7751889
Brownlow Medal Quinella: Caleb Serong/Lachie Neale,0.007424278,7.37E-08,0.006881354,-0.042575722,-0.092575722,-0.192575722,126,-0.064540955,-0.132949362,-6.364540955,-12.66454095,-25.26454095
Brownlow Medal Quinella: Chad Warner/Patrick Cripps,0.000382345,3.82E-09,0.000258701,-0.049617655,-0.099617655,-0.199617655,126,-0.9518245,-0.967403707,-7.2518245,-13.5518245,-26.1518245
Brownlow Medal Quinella: Nick Daicos/Zak Butters,0.046155227,4.40E-07,0.044828201,-0.003844773,-0.053844773,-0.153844773,131,5.046334725,4.872494375,-1.503665275,-8.053665275,-21.15366527
Brownlow Medal Quinella: Chad Warner/Nick Daicos,0.000768012,7.67E-09,0.000592807,-0.049231988,-0.099231988,-0.199231988,141,-0.891710321,-0.916414263,-7.941710321,-14.99171032,-29.09171032
Brownlow Medal Quinella: Caleb Serong/Marcus Bontempelli,0.017198655,1.69E-07,0.016376394,-0.032801345,-0.082801345,-0.182801345,151,1.596996978,1.472835446,-5.953003022,-13.50300302,-28.60300302
Brownlow Medal Quinella: Errol Gulden/Lachie Neale,0.001248921,1.25E-08,0.00102555,-0.048751079,-0.098751079,-0.198751079,151,-0.811412984,-0.845141948,-8.361412984,-15.91141298,-31.01141298
Brownlow Medal Quinella: Marcus Bontempelli/Zachary Merrett,0.013818762,1.36E-07,0.013080445,-0.036181238,-0.086181238,-0.186181238,151,1.086633048,0.975147165,-6.463366952,-14.01336695,-29.11336695
Brownlow Medal Quinella: Nick Daicos/Noah Anderson,0.006369913,6.33E-08,0.00586675,-0.043630087,-0.093630087,-0.193630087,176,0.121104762,0.032547986,-8.678895238,-17.47889524,-35.07889524
Brownlow Medal Quinella: Patrick Cripps/Zak Butters,0.015116528,1.49E-07,0.014344829,-0.034883472,-0.084883472,-0.184883472,176,1.660509016,1.52468983,-7.139490984,-15.93949098,-33.53949098
Brownlow Medal Quinella: Lachie Neale/Zak Butters,0.015011294,1.48E-07,0.014242244,-0.034988706,-0.084988706,-0.184988706,226,2.392552447,2.218747103,-8.907447553,-20.20744755,-42.80744755
Brownlow Medal Quinella: Errol Gulden/Marcus Bontempelli,0.002244763,2.24E-08,0.001945448,-0.047755237,-0.097755237,-0.197755237,251,-0.436564581,-0.511692427,-12.98656458,-25.53656458,-50.63656458
Brownlow Medal Quinella: Jason H-Francis/Nick Daicos,3.33E-05,3.33E-10,-3.18E-06,-0.049966667,-0.099966667,-0.199966667,251,-0.991633333,-1.000798405,-13.54163333,-26.09163333,-51.19163333
Brownlow Medal Quinella: Jason H-Francis/Patrick Cripps,0,0,0,-0.05,-0.1,-0.2,251,-1,-1,-13.55,-26.1,-51.2
